Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),timestamp,delivery_date,scraped_at_UTC,market
04-10-2025,13,12:15 - 12:30,4537.4,42999.3,3480.2,3480.2,1320.8,2025-10-04 12:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,13,12:30 - 12:45,4466.9,43307.3,3435.3,3435.3,1264.98,2025-10-04 12:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,13,12:45 - 13:00,4365.9,43534.7,3337.3,3337.3,1187.24,2025-10-04 12:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,14,13:00 - 13:15,3858.5,44167.7,3228.6,3228.6,1140.22,2025-10-04 13:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,14,13:15 - 13:30,3833.9,44432.6,3201.6,3201.6,1128.09,2025-10-04 13:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,14,13:30 - 13:45,4748.1,43116.9,3912.9,3912.9,1645.46,2025-10-04 13:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,14,13:45 - 14:00,4881.2,43233.0,3933.6,3933.6,1645.6,2025-10-04 13:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,15,14:00 - 14:15,5399.3,41940.7,4535.0,4535.0,1799.99,2025-10-04 14:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,15,14:15 - 14:30,5535.8,42009.5,4655.4,4655.4,1835.84,2025-10-04 14:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,15,14:30 - 14:45,5877.4,41360.3,4963.6,4963.6,1849.58,2025-10-04 14:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,15,14:45 - 15:00,5972.0,40831.1,5120.3,5120.3,1849.98,2025-10-04 14:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,16,15:00 - 15:15,5946.8,38774.5,5109.8,5109.8,1869.03,2025-10-04 15:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,16,15:15 - 15:30,6002.7,38179.8,5163.4,5163.4,1897.23,2025-10-04 15:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,16,15:30 - 15:45,6625.3,36978.9,5619.0,5619.0,1919.76,2025-10-04 15:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,16,15:45 - 16:00,7215.4,35903.1,6001.2,6001.2,2019.66,2025-10-04 15:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,17,16:00 - 16:15,7756.5,32274.0,6340.6,6340.6,2168.0,2025-10-04 16:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,17,16:15 - 16:30,8932.1,28138.2,6477.9,6477.9,2625.47,2025-10-04 16:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,17,16:30 - 16:45,9159.0,24937.0,6448.3,6448.3,2870.15,2025-10-04 16:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,17,16:45 - 17:00,10844.3,23470.7,7307.2,7307.2,3102.74,2025-10-04 16:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,18,17:00 - 17:15,10020.1,21137.4,7004.0,7004.0,3152.59,2025-10-04 17:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,18,17:15 - 17:30,10494.4,19562.0,7627.7,7627.7,3289.1,2025-10-04 17:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,18,17:30 - 17:45,11516.3,16665.9,8416.8,8416.8,3919.53,2025-10-04 17:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,18,17:45 - 18:00,12218.8,15381.6,8569.9,8569.9,4500.78,2025-10-04 17:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,19,18:00 - 18:15,12845.1,13478.5,7615.5,7615.5,5000.45,2025-10-04 18:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,19,18:15 - 18:30,13349.9,12085.1,7186.0,7186.0,5986.96,2025-10-04 18:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,19,18:30 - 18:45,14220.5,11545.1,7041.8,7041.8,10000.0,2025-10-04 18:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,19,18:45 - 19:00,15281.0,11361.7,6958.4,6958.4,10000.0,2025-10-04 18:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,20,19:00 - 19:15,14969.2,10984.7,6618.6,6618.6,10000.0,2025-10-04 19:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,20,19:15 - 19:30,14698.8,11108.5,6742.4,6742.4,10000.0,2025-10-04 19:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,20,19:30 - 19:45,13980.6,11381.6,7015.5,7015.5,10000.0,2025-10-04 19:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,20,19:45 - 20:00,13071.7,11762.3,6777.6,6777.6,5500.81,2025-10-04 19:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,21,20:00 - 20:15,11792.8,12332.3,6917.2,6917.2,5064.88,2025-10-04 20:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,21,20:15 - 20:30,11433.4,12590.1,6974.47,6974.47,4999.77,2025-10-04 20:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,21,20:30 - 20:45,10964.8,12809.5,6981.9,6981.9,4809.94,2025-10-04 20:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,21,20:45 - 21:00,11163.6,12251.3,6773.0,6773.0,5049.32,2025-10-04 20:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,22,21:00 - 21:15,11232.2,12055.8,6738.6,6738.6,5280.11,2025-10-04 21:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,22,21:15 - 21:30,11089.5,12472.3,6828.26,6828.26,4999.98,2025-10-04 21:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,22,21:30 - 21:45,10763.4,12740.9,6637.61,6637.61,4999.79,2025-10-04 21:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,22,21:45 - 22:00,10462.4,12878.8,6685.78,6685.78,4999.0,2025-10-04 21:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,23,22:00 - 22:15,9963.8,14016.1,6652.45,6652.45,3500.2,2025-10-04 22:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,23,22:15 - 22:30,9964.4,14397.2,6690.3,6690.3,3499.1,2025-10-04 22:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,23,22:30 - 22:45,9982.5,15107.2,6986.0,6986.0,3350.55,2025-10-04 22:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,23,22:45 - 23:00,9875.3,15048.3,7028.2,7028.2,3350.03,2025-10-04 22:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,24,23:00 - 23:15,8667.6,15674.0,6276.8,6276.8,3019.9,2025-10-04 23:00:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,24,23:15 - 23:30,8621.1,16135.2,6389.3,6389.3,3000.7,2025-10-04 23:15:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,24,23:30 - 23:45,8253.6,16385.9,6126.9,6126.9,2889.93,2025-10-04 23:30:00,2025-10-04,2025-12-26T16:25:55Z,DAM
04-10-2025,24,23:45 - 24:00,8292.9,16640.2,6157.0,6157.0,2889.8,2025-10-04 23:45:00,2025-10-04,2025-12-26T16:25:55Z,DAM
05-10-2025,1,00:00 - 00:15,10286.9,18827.2,6831.6,6831.6,3102.21,2025-10-05 00:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,1,00:15 - 00:30,10195.9,19268.0,6679.0,6679.0,3090.83,2025-10-05 00:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,1,00:30 - 00:45,10061.3,19856.4,6564.8,6564.8,3134.19,2025-10-05 00:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,1,00:45 - 01:00,9828.8,20123.8,6355.4,6355.4,3009.96,2025-10-05 00:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,2,01:00 - 01:15,9444.0,20941.2,6502.2,6502.2,2999.63,2025-10-05 01:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,2,01:15 - 01:30,9321.0,21405.0,6375.1,6375.1,2999.6,2025-10-05 01:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,2,01:30 - 01:45,9339.3,21632.8,6158.2,6158.2,3000.23,2025-10-05 01:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,2,01:45 - 02:00,9532.5,21843.5,6148.5,6148.5,3000.22,2025-10-05 01:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,3,02:00 - 02:15,9950.5,22983.5,6314.9,6314.9,2998.91,2025-10-05 02:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,3,02:15 - 02:30,10444.2,23304.0,6516.6,6516.6,3009.56,2025-10-05 02:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,3,02:30 - 02:45,10684.1,23660.6,6745.2,6745.2,3099.68,2025-10-05 02:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,3,02:45 - 03:00,11020.3,23581.8,7061.8,7061.8,3188.69,2025-10-05 02:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,4,03:00 - 03:15,11179.7,22660.2,7174.5,7174.5,3115.97,2025-10-05 03:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,4,03:15 - 03:30,11026.3,22573.0,7003.6,7003.6,3134.01,2025-10-05 03:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,4,03:30 - 03:45,11040.7,22842.3,6952.4,6952.4,3188.04,2025-10-05 03:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,4,03:45 - 04:00,10831.0,23118.0,6800.5,6800.5,3099.78,2025-10-05 03:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,5,04:00 - 04:15,10764.3,23182.4,6588.9,6588.9,3009.82,2025-10-05 04:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,5,04:15 - 04:30,10744.5,23162.2,6412.2,6412.2,3009.44,2025-10-05 04:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,5,04:30 - 04:45,10801.5,23107.2,6351.8,6351.8,3009.34,2025-10-05 04:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,5,04:45 - 05:00,10902.0,23146.8,6435.9,6435.9,3009.82,2025-10-05 04:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,6,05:00 - 05:15,11225.6,21864.1,6673.99,6673.99,3200.53,2025-10-05 05:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,6,05:15 - 05:30,11217.8,21669.8,6619.3,6619.3,3200.77,2025-10-05 05:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,6,05:30 - 05:45,11163.1,21368.3,6655.1,6655.1,3200.09,2025-10-05 05:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,6,05:45 - 06:00,10651.2,21681.8,6182.3,6182.3,3115.25,2025-10-05 05:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,7,06:00 - 06:15,10854.6,22351.5,6585.2,6585.2,3188.74,2025-10-05 06:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,7,06:15 - 06:30,11217.1,24513.5,6812.6,6812.6,3188.14,2025-10-05 06:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,7,06:30 - 06:45,11372.4,25386.5,6969.8,6969.8,3102.12,2025-10-05 06:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,7,06:45 - 07:00,11231.9,26695.8,6990.4,6990.4,2953.28,2025-10-05 06:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,8,07:00 - 07:15,9812.9,27572.6,6403.5,6403.5,2862.65,2025-10-05 07:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,8,07:15 - 07:30,9131.3,29312.6,6447.3,6447.3,2750.92,2025-10-05 07:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,8,07:30 - 07:45,8393.6,31886.6,6787.6,6787.6,2546.96,2025-10-05 07:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,8,07:45 - 08:00,7737.4,35293.0,6330.2,6330.2,2427.58,2025-10-05 07:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
