state,consumer_category,sub-category,supply_voltage_category,supply_voltage,month,tod_start_time,tod_end_time,base_energy_rate,base_energy_unit,tod_charge_percent,energy_rate
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202702,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202702,17:00,23:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202702,23:00,5:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202703,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202703,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202703,17:00,23:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202703,23:00,5:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202604,5:00,10:00,5.78,kVAh,-15,4.913
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202604,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202604,19:00,3:00,7.82,kVAh,15,8.993
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202604,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202605,5:00,10:00,5.78,kVAh,-15,4.913
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202605,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202605,19:00,3:00,7.82,kVAh,15,8.993
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202605,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202606,5:00,10:00,5.78,kVAh,-15,4.913
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202606,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202606,19:00,3:00,7.82,kVAh,15,8.993
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202606,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202607,5:00,10:00,5.78,kVAh,-15,4.913
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202607,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202607,19:00,3:00,7.82,kVAh,15,8.993
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202607,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202608,5:00,10:00,5.78,kVAh,-15,4.913
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202608,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202608,19:00,3:00,7.82,kVAh,15,8.993
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202608,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",202609,5:00,10:00,5.78,kVAh,-15,4.913
